ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14424525,28.08.17 12:36:46,12,928,928
14424544,28.08.17 13:05:00,19,2006,2006
14424778,28.08.17 19:05:36,18,22887,22887
14424883,29.08.17 7:10:41,7,9600,9600
14425109,29.08.17 14:23:10,12,2890,2890
14426279,01.09.17 16:36:38,6,972,972
14426451,01.09.17 23:29:11,7,4800,4800
14426459,02.09.17 7:01:23,5,2593,2593
14426635,02.09.17 12:01:33,5,5416,5416
14426909,02.09.17 18:06:20,4,7334,7334
14427888,04.09.17 15:27:04,9,265,265
14429093,08.09.17 10:15:20,9,3522,0
14429198,08.09.17 12:14:37,1,23390,23390
14429375,08.09.17 16:09:50,8,15912,15912
14429554,09.09.17 7:01:34,10,23786,23786
14429557,09.09.17 7:02:38,20,16408,16408
14429613,09.09.17 9:46:32,22,7074,7074
14430554,10.09.17 16:40:28,7,2135,2135
14430559,10.09.17 16:45:23,6,6662,6662
14430587,10.09.17 17:16:04,8,616,616
14430626,10.09.17 18:27:35,1,564,564
14430704,10.09.17 23:18:17,10,1380,1380
14430979,11.09.17 14:06:27,22,324,324
14431004,11.09.17 14:50:37,19,1530,1530
14431088,11.09.17 16:40:18,15,880,880
14431144,11.09.17 18:08:53,6,4990,4990
14431148,11.09.17 18:15:29,17,770,770
14431289,12.09.17 8:44:49,10,560,560
14431622,12.09.17 17:43:58,18,2144,2144
14432119,14.09.17 18:17:06,4,3520,3520
14432207,15.09.17 7:06:16,19,707,707
14432221,15.09.17 8:27:04,17,270,270
14432354,15.09.17 12:02:41,17,11250,11250
14432460,15.09.17 14:26:33,18,11103,11103
14432494,15.09.17 15:19:33,11,2350,2350
14432637,15.09.17 18:49:58,5,19215,19215
14432744,16.09.17 8:56:55,9,2570,2570
14432773,16.09.17 9:42:30,11,1452,1452
14433083,16.09.17 16:24:39,9,552,552
14433463,17.09.17 13:40:31,12,10517,0
14434086,18.09.17 18:10:17,5,3522,3522
14434385,19.09.17 13:24:30,15,12496,12496
14434833,20.09.17 21:45:29,2,12802,12802
14434885,21.09.17 10:19:29,11,450,0
14435014,21.09.17 16:26:41,7,33782,33782
14435788,23.09.17 10:44:57,1,10620,10620
14435836,23.09.17 11:40:59,4,18725,18725
14436096,23.09.17 17:48:37,21,264,264
14436348,24.09.17 11:38:38,7,411,411
14436747,24.09.17 23:45:37,19,474,474
14437115,25.09.17 16:25:58,10,37160,37160
14437324,26.09.17 9:42:09,7,7497,7497
14437706,26.09.17 21:41:33,13,1892,1892
14437765,27.09.17 10:11:31,8,14920,14920
14438433,29.09.17 13:47:38,18,26836,26836
14439251,30.09.17 22:29:23,11,20952,20952
14439293,01.10.17 8:42:16,4,2800,2800
14439530,01.10.17 14:23:40,4,3802,3802
14439844,02.10.17 8:49:14,5,2040,2040
14439895,02.10.17 10:20:36,5,1754,1754
14440050,02.10.17 13:05:11,21,2628,2628
14440059,02.10.17 13:17:25,11,3944,3944
14440545,03.10.17 13:12:11,21,1512,1512
14440957,04.10.17 16:24:12,15,3039,3039
14440995,04.10.17 17:47:48,5,1626,1626
14441366,06.10.17 7:04:45,1,555,555
14441589,06.10.17 13:16:10,17,330,330
14441657,06.10.17 14:34:22,7,896,896
14442100,07.10.17 11:18:00,6,19650,19650
14442116,07.10.17 11:33:50,6,4266,4266
14442339,07.10.17 16:43:00,3,16218,16218
14442539,08.10.17 9:00:42,15,23835,23835
14443820,10.10.17 13:34:09,3,23742,23742
14443948,10.10.17 17:17:51,20,630,630
14444065,11.10.17 7:03:41,11,4487,4487
14444127,11.10.17 12:51:49,11,73959,73959
